;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;câmbio automático;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;longitude;latitude;cilindrada
24;Ford Fiesta Hatch SE 1.0 RoCam (Flex) 2014;Flex; 32.900,00;2013;123.000;Preto;0;Jaú;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-48.559193;-22.293585;1000.0
25;Ford New Fiesta Hatch New Fiesta S 1.5 16V 2014;Flex; 38.700,00;2014;98.999;Preto;0;Curitiba;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-49.264622;-25.419547;1500.0
26;Ford Focus Hatch GL 1.6 16V (Flex) 2013;Flex; 37.900,00;2012;116.000;Prata;0;Belo Horizonte;1;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;-43.926572;-19.910183;1600.0
27;Chevrolet Meriva Premium 1.8 (Flex) 2008;Flex; 29.700,00;2008;159.511;Prata;1;Curitiba;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;-49.264622;-25.419547;1800.0
28;Fiat Punto Attractive 1.4 (Flex) 2012;Flex; 29.990,00;2012;142.000;Bege;0;Escada;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-35.224082;-8.356717;1400.0
29;Volkswagen Saveiro 1.6 (Flex) 2012;Flex; 38.900,00;2012;141.200;Preto;0;Suzano;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-46.311181;-23.544828;1600.0
30;Chevrolet Classic LS 1.0 VHCE (Flex) 2016;Flex; 36.900,00;2016;120.000;Preto;0;Campo Grande;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-36.792608;-9.955423;1000.0
31;Fiat Uno Way 1.4 8V (Flex) 4p 2013;Flex; 35.000,00;2012;109.001;Branco;0;Cascavel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-38.241178;-4.129666;1400.0
32;Fiat Siena EL 1.4 8V (Flex) 2014;Flex; 36.590,00;2013;163.456;Vermelho;0;Santa Inês;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-45.37745;-3.651118;1400.0
33;Fiat Palio Fire 1.0 8V (Flex) 4p 2013;Flex; 29.900,00;2012;124.012;Prata;0;Caxias do Sul;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;-51.179161;-29.162905;1000.0
