;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;câmbio automático;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;longitude;latitude;cilindrada
499;Volkswagen Gol 1.0 TEC City (Flex) 4p 2015;Flex; 38.900,00;2014;65.000;Prata;0;Conselheiro Lafaiete;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-43.784609;-20.663445;1000.0
500;Ford Fiesta Hatch Rocam 1.6 (Flex) 2013;Flex; 33.700,00;2013;90.000;Preto;0;Curitiba;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-49.264622;-25.419547;1600.0
501;Volkswagen Polo Sedan Comfortline 1.6 8V I-Motion (Flex) (Aut) 2011;Flex; 36.900,00;2011;113.000;Prata;1;Salgueiro;0;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;-39.12469;-8.073734;1600.0
502;Fiat Palio Attractive 1.4 8V (Flex) 2013;Flex; 35.890,00;2013;75.856;Preto;0;Santo André;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-36.621339;-7.220157;1400.0
503;Volkswagen Fox 1.0 TEC (Flex) 4p 2014;Flex; 37.990,00;2013;86.000;Branco;0;Amparo;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-37.062838;-7.555022;1000.0
504;Volkswagen SpaceFox 1.6 8V (Flex) 2012;Flex; 37.990,00;2011;108.000;Preto;0;Curitiba;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;1;-49.264622;-25.419547;1600.0
505;Chevrolet Celta Spirit 1.0 VHCE (Flex) 4p 2011;Flex; 27.900,00;2010;132.714;Prata;0;Santo André;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-46.543154;-23.67373;1000.0
506;Volkswagen Up! 1.0 12v E-Flex take up! 4p 2016;Flex; 38.900,00;2016;63.065;Vermelho;0;Goiânia;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-49.264346;-16.686439;1000.0
507;Peugeot Hoggar Escapade 1.6 16V (flex) 2011;Flex; 27.900,00;2010;173.885;Branco;0;Recife;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;-34.877065;-8.046658;1600.0
508;Chevrolet Onix Plus 1.0 LT 2022;Flex; 79.180,00;2021;18.222;Preto;0;Maceió;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;0;1;-35.73496;-9.665985;1000.0
509;Ford Fiesta Hatch Rocam 1.6 (Flex) 2013;Flex; 34.990,00;2012;149.800;Prata;0;Araraquara;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-48.178014;-21.784511;1600.0
510;Chevrolet Classic LS VHC E 1.0 (Flex) 2011;Flex; 24.900,00;2010;140.000;Prata;1;Ribeirão Preto;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-47.809875;-21.169923;1000.0
511;Volkswagen Gol 1.0 TEC (Flex) 4p 2014;Flex; 38.890,00;2013;155.141;Preto;0;Barueri;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;-46.879042;-23.505689;1000.0
512;Citroën C3 Tendance 1.5 8V (Flex) 2013;Flex; 35.990,00;2012;115.300;Branco;0;Rio Verde;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-50.919195;-17.792266;1500.0
513;Fiat Palio Attractive 1.4 8V (Flex) 2013;Flex; 38.890,00;2013;119.000;Prata;0;São Paulo;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;-46.63952;-23.532905;1400.0
514;Chevrolet Montana Sport 1.8 (Flex) 2005;Flex; 33.890,00;2004;160.000;Vermelho;0;Osasco;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;-46.791555;-23.53239;1800.0
515;Volkswagen Gol 1.6 (Flex) 2013;Flex; 38.900,00;2012;69.000;Vermelho;0;Belém;0;0;0;1;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;-35.51658;-6.742614;1600.0
516;Citroën C3 Picasso Tendance 1.6 16V (Flex) (Aut) 2015;Flex; 38.900,00;2015;86.000;Prata;1;Rio de Janeiro;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;1;-43.200295;-22.912897;1600.0
517;Fiat Punto Attractive 1.4 (Flex) 2014;Flex; 38.890,00;2013;167.713;Branco;0;São Paulo;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-46.63952;-23.532905;1400.0
518;Volkswagen Voyage 1.0 Total Flex 2013;Flex; 36.990,00;2012;89.400;Prata;0;Barretos;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;-48.569832;-20.553146;1000.0
519;Fiat Palio Attractive 1.4 8V (Flex) 2014;Flex; 38.900,00;2014;119.000;Preto;0;Fortaleza;1;1;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;-38.542298;-3.716638;1400.0
520;Citroën C4 GLX 2.0 (aut) (flex) 2010;Flex; 31.900,00;2009;142.095;Prata;1;Parobé;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;-50.83118;-29.624257;2000.0
521;Renault Sandero Stepway 1.6 16V (Flex) 2012;Flex; 37.900,00;2011;120.000;Cinza;0;Rio Bonito;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-42.627574;-22.71811;1600.0
522;Renault Clio Expression 1.0 16V (Flex) 2016;Flex; 34.980,00;2015;116.000;Vermelho;0;São Paulo;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-46.63952;-23.532905;1000.0
523;Citroën C3 GLX 1.4 8V (flex) 2012;Flex; 29.000,00;2011;159.325;Prata;0;Limeira;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;-47.396987;-22.56605;1400.0
524;Citroën C3 Tendance 1.5 8V (Flex) 2014;MultiFlex (Alc; 35.900,00;2013;48.875;Branco;0;Rio de Janeiro;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;-43.200295;-22.912897;1500.0
525;Chevrolet Celta LT 1.0 (Flex) 2015;Flex; 34.999,00;2014;81.000;Branco;0;Cabo Frio;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-42.028595;-22.88943;1000.0
526;Volkswagen Gol 1.0 8V (G4)(Flex)2p 2014;Flex; 28.900,00;2013;141.915;Vermelho;0;Campinas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-47.06595;-22.905346;1000.0
527;Renault Logan Authentique 1.0 16V (flex) 2015;MultiFlex (Alc; 35.900,00;2014;99.999;Branco;0;Rio de Janeiro;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;-43.200295;-22.912897;1000.0
528;Chevrolet Classic LS VHC E 1.0 (Flex) 2012;Flex; 28.900,00;2011;140.000;Cinza;0;Joinville;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-48.848675;-26.304497;1000.0
529;Volkswagen Fox 1.0 8V (Flex) 4p 2011;Flex; 29.800,00;2010;143.193;Vermelho;0;Curitiba;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;-49.264622;-25.419547;1000.0
530;Chevrolet Vectra GT 2.0 8V (Flex) 2009;Flex; 32.990,00;2008;214.000;Cinza;0;Brasília;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-47.929657;-15.779522;2000.0
531;Chevrolet Agile LTZ 1.4 8V (Flex) 2011;Flex; 32.900,00;2011;170.000;Preto;0;Bauru;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;1;1;0;0;1;-49.087142;-22.324569;1400.0
532;Toyota Etios Hatch Etios XLS 1.5 (Flex) 2013;Flex; 37.900,00;2013;160.456;Prata;0;São Paulo;0;1;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;1;0;1;-46.63952;-23.532905;1500.0
533;Fiat Palio ELX 1.4 (Flex) 2010;Flex; 29.900,00;2009;148.000;Prata;0;Curitiba;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-49.264622;-25.419547;1400.0
534;Fiat Weekend Trekking 1.6 E.torQ (Flex) 2016;Flex; 37.900,00;2015;185.000;Prata;0;Joinville;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;1;0;1;-48.848675;-26.304497;1600.0
535;Volkswagen SpaceFox 1.6 8V (Flex) 2009;Flex; 28.900,00;2008;166.000;Prata;0;São José dos Campos;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-45.884115;-23.189554;1600.0
536;Fiat Palio Fire 1.0 8V (Flex) 4p 2014;Flex; 29.990,00;2013;157.438;Prata;0;Porto Alegre;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-51.206533;-30.031771;1000.0
537;Fiat Uno Way 1.4 8V (Flex) 2p 2011;Flex; 32.000,00;2010;135.000;Prata;0;Rolim de Moura;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-61.771411;-11.727071;1400.0
538;Volkswagen SpaceFox 1.6 8V (Flex) 2008;Flex; 28.900,00;2008;196.000;Prata;0;São Paulo;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;-46.63952;-23.532905;1600.0
539;Citroën C3 Exclusive 1.6 16V (Flex)(aut) 2012;Flex; 36.900,00;2011;85.500;Branco;1;São Bonifácio;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-48.932608;-27.900907;1600.0
540;Fiat Idea ELX 1.8 (Flex) 2010;Flex; 29.990,00;2010;134.650;Prata;0;Curitiba;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;-49.264622;-25.419547;1800.0
541;Chevrolet Vectra GT -X 2.0 8V (Flex) (Aut) 2010;Flex; 35.900,00;2009;144.000;Preto;1;Mogi das Cruzes;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1;1;0;1;1;-46.18541;-23.52082;2000.0
542;Volkswagen Gol 1.0 8V (G4)(Flex)4p 2013;Flex; 32.900,00;2012;89.000;Preto;0;Rio Negrinho;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-49.517746;-26.259075;1000.0
543;Chevrolet Zafira Expression 2.0 (Flex) (Aut) 2011;Flex; 37.900,00;2010;123.456;Prata;1;Ribeirão Preto;1;1;0;1;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;-47.809875;-21.169923;2000.0
544;Citroën C3 Picasso GLX 1.6 16V (Flex) 2012;Flex; 34.000,00;2011;151.668;Prata;0;Limeira;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;-47.396987;-22.56605;1600.0
545;Volkswagen SpaceFox 1.6 8V (Flex) 2009;Flex; 29.900,00;2008;124.000;Prata;0;Porto Alegre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-51.206533;-30.031771;1600.0
546;Volkswagen Up! 1.0 12v E-Flex move up! 4p 2015;Flex; 38.990,00;2014;90.261;Branco;0;Cuiabá;1;1;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;-56.097397;-15.600979;1000.0
547;Fiat Uno Way 1.0 8V (Flex) 4p 2014;Flex; 34.990,00;2014;80.000;Branco;0;Recife;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;-34.877065;-8.046658;1000.0
548;Chevrolet Classic LS 1.0 VHCE (Flex) 2016;Flex; 38.900,00;2015;41.000;Prata;0;Parnamirim;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-39.579547;-8.087292;1000.0
549;Ford Ka Hatch SE 1.0 (Flex) 2015;Flex; 37.900,00;2014;108.000;Prata;0;São Paulo;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;-46.63952;-23.532905;1000.0
550;Fiat Palio Fire 1.0 8V (Flex) 4p 2010;Flex; 26.990,00;2009;116.000;Prata;0;São Paulo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.63952;-23.532905;1000.0
551;Chevrolet Agile LTZ 1.4 8V (Flex) 2012;Flex; 34.990,00;2011;174.400;Vermelho;0;São Paulo;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;-46.63952;-23.532905;1400.0
552;Fiat Palio Attractive 1.4 8V (Flex) 2013;Flex; 38.900,00;2012;139.729;Branco;0;Mirassol;1;1;1;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;-49.52061;-20.816874;1400.0
553;Chevrolet Montana LS 1.4 (Flex) 2012;Flex; 38.900,00;2011;123.456;Cinza;0;São Carlos;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-53.003704;-27.079757;1400.0
554;Fiat Grand Siena Attractive 1.4 8V (Flex) 2013;Flex; 34.900,00;2013;124.000;Preto;0;Manaus;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-60.02123;-3.118662;1400.0
555;Volkswagen Gol 1.0 (G5) (Flex) 2013;Flex; 32.900,00;2012;153.379;Branco;0;Goiânia;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;-49.264346;-16.686439;1000.0
556;Volkswagen Gol 1.0 (G5) (Flex) 2011;Flex; 28.900,00;2010;130.000;Vermelho;0;Palmas;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;-51.988812;-26.483868;1000.0
557;Renault Sandero Expression 1.0 16V (flex) 2012;Flex; 28.990,00;2011;140.000;Prata;0;Valinhos;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-46.997367;-22.969805;1000.0
558;Nissan Livina SL 1.8 16V aut. (flex) 2010;Flex; 34.900,00;2009;185.000;Verde;1;Jundiaí;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;-46.897358;-23.185218;1800.0
559;Fiat Palio Fire 1.0 8V (Flex) 4p 2012;Flex; 27.500,00;2011;108.000;Prata;0;São Paulo;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;-46.63952;-23.532905;1000.0
560;Fiat Palio Fire Way 1.0 8V (Flex) 2015;Flex; 34.900,00;2014;111.000;Cinza;0;Curitiba;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-49.264622;-25.419547;1000.0
561;Chevrolet Classic LS VHC E 1.0 (Flex) 2013;Flex; 29.500,00;2012;90.000;Prata;0;José Bonifácio;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;-49.689233;-21.055062;1000.0
562;Ford Fiesta Hatch S Rocam 1.0 (Flex) 2014;Flex; 32.777,00;2014;109.074;Preto;0;Campinas;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-47.06595;-22.905346;1000.0
563;Ford EcoSport Ecosport XLT 2.0 16V (Flex) 2008;Gasolina; 35.000,00;2007;140.000;Prata;1;Ibitinga;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;-48.831903;-21.75623;2000.0
564;Ford Fiesta Hatch Rocam 1.6 (Flex) 2013;Flex; 32.900,00;2012;118.000;Branco;0;Sapucaia do Sul;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-51.144975;-29.827575;1600.0
565;Renault Sandero Expression 1.0 16V (flex) 2014;Gasolina; 33.900,00;2013;79.000;Branco;0;Canoas;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-51.185681;-29.912758;1000.0
566;Citroën C4 Pallas Exclusive 2.0 16V (flex) (aut) 2011;Flex; 33.900,00;2011;135.000;Preto;1;São José dos Campos;1;1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;-45.884115;-23.189554;2000.0
567;Volkswagen CrossFox 1.6 (Flex) 2009;Flex; 29.990,00;2008;185.279;Preto;0;Goiânia;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;-49.264346;-16.686439;1600.0
568;Fiat Uno Way 1.0 8V (Flex) 4p 2013;Flex; 32.900,00;2012;150.000;Vermelho;0;Itaguaí;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-43.779821;-22.863566;1000.0
569;Chevrolet Classic LS VHC E 1.0 (Flex) 2011;Flex; 26.800,00;2011;132.210;Branco;0;Campo Grande;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-37.310572;-5.8536;1000.0
570;Chevrolet Agile LTZ 1.4 8V (Flex) 2010;Flex; 31.900,00;2010;128.000;Preto;0;Mogi Mirim;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-46.950514;-22.431878;1400.0
571;Citroën C3 GLX 1.4 8V (flex) 2011;Flex; 25.900,00;2011;166.294;Prata;0;Brasília;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-47.929657;-15.779522;1400.0
572;Ford Fiesta Hatch Rocam 1.6 (Flex) 2013;Flex; 31.990,00;2012;142.838;Preto;0;Campinas;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;-47.06595;-22.905346;1600.0
573;Chevrolet Agile LTZ 1.4 8V (Flex) 2013;Flex; 34.900,00;2012;121.400;Branco;0;São Paulo;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;-46.63952;-23.532905;1400.0
574;Volkswagen Up! 1.0 12v E-Flex take up! 2p 2015;Flex; 38.900,00;2014;97.000;Branco;0;Cuiabá;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-56.097397;-15.600979;1000.0
575;Chevrolet Celta LT 1.0 (Flex) 2014;Flex; 33.900,00;2014;132.000;Branco;0;Colombo;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;-49.22616;-25.292487;1000.0
576;Ford Fiesta Sedan 1.6 Rocam (Flex) 2013;Flex; 29.900,00;2012;100.000;Branco;0;Anápolis;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;-48.952958;-16.328095;1600.0
577;Renault Sandero Expression 1.0 16V (flex) 2011;Flex; 28.900,00;2011;150.000;Preto;0;Jundiaí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.897358;-23.185218;1000.0
578;Volkswagen Up! 1.0 12v E-Flex move up! 2p 2015;Flex; 35.900,00;2014;111.111;Branco;0;Uberlândia;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-48.274934;-18.914142;1000.0
579;Renault Clio Hatch. Campus 1.0 16V (flex) 2p 2011;Flex; 21.900,00;2010;118.615;Preto;0;Jundiaí;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-46.897358;-23.185218;1000.0
580;Renault Clio Expression 1.0 16V (Flex) 2016;Flex; 33.900,00;2015;113.316;Prata;0;Campo Grande;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-54.629463;-20.448589;1000.0
581;Chevrolet Classic LS VHC E 1.0 (Flex) 2012;Flex; 28.500,00;2012;112.000;Cinza;0;Campo Grande;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-54.629463;-20.448589;1000.0
582;Ford EcoSport Ecosport XLT 2.0 16V (Flex) 2009;Flex; 37.900,00;2009;104.000;Prata;0;São Paulo;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;-46.63952;-23.532905;2000.0
583;Chevrolet Astra Sedan Advantage 2.0 (Flex) 2011;Flex; 34.900,00;2011;200.881;Preto;0;São José dos Campos;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-45.884115;-23.189554;2000.0
584;Chevrolet Vectra GT 2.0 8V (Flex) 2009;Flex; 32.900,00;2008;176.200;Preto;0;Volta Redonda;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-44.099555;-22.520212;2000.0
585;Fiat Palio Attractive 1.4 8V (Flex) 2011;Flex; 33.900,00;2010;101.000;Prata;0;Osasco;1;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;-46.791555;-23.53239;1400.0
586;Volkswagen Fox 1.0 8V (Flex) 4p 2010;Flex; 27.899,00;2009;108.812;Vermelho;0;Osasco;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;-46.791555;-23.53239;1000.0
587;Hyundai HB20 1.0 Vision (BlueAudio) 2022;Flex; 64.900,00;2021;45.675;Preto;0;Lauro de Freitas;0;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;-38.321008;-12.8978;1000.0
588;Volkswagen Fox 1.0 VHT (Flex) 2p 2013;Flex; 33.900,00;2012;94.000;Preto;0;São Paulo;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;-46.63952;-23.532905;1000.0
589;Toyota Corolla Sedan XLi 1.6 16V (aut) 2007;Gasolina; 33.900,00;2007;170.000;Prata;1;Ribeirão Preto;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;-47.809875;-21.169923;1600.0
590;Peugeot 408 Allure 2.0 16V (aut) (Flex) 2012;Flex; 34.990,00;2011;142.000;Prata;1;Campinas;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;-47.06595;-22.905346;2000.0
591;Volkswagen SpaceFox Comfortline 1.6 8V (Flex) 2008;Flex; 32.900,00;2007;182.000;Bege;0;Carapicuíba;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;-46.840676;-23.523471;1600.0
592;Nissan March 1.6 16V SV (Flex) 2013;Flex; 38.900,00;2012;43.990;Prata;0;Votuporanga;1;0;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;-49.978112;-20.423659;1600.0
593;Chevrolet Corsa Hatch Maxx 1.4 (Flex) 2011;Flex; 29.900,00;2011;11.111;Prata;0;Várzea Grande;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-42.247973;-6.548993;1400.0
594;Renault Sandero Expression 1.6 8V (flex) 2014;Flex; 33.700,00;2013;145.800;Prata;0;São Paulo;1;0;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;-46.63952;-23.532905;1600.0
595;Hyundai Azera 3.3 V6 2009;Flex; 36.900,00;2008;168.000;Preto;0;São Paulo;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;-46.63952;-23.532905;3300.0
596;Citroën Aircross GLX 1.6 16V (Flex) (aut) 2012;Flex; 37.990,00;2012;91.000;Preto;1;Santo André;0;0;0;1;0;1;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;-46.543154;-23.67373;1600.0
597;Fiat Punto Essence 1.6 16V Dualogic (Flex) 2012;Flex; 32.900,00;2011;140.590;Branco;1;Arapongas;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-51.42592;-23.415296;1600.0
598;Citroën C3 Origine 1.5 8V (Flex) 2013;Flex; 36.990,00;2013;154.000;Preto;0;Campinas;1;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;-47.06595;-22.905346;1500.0
599;Volkswagen Kombi Lotação 1.4 (Flex) 2009;Flex; 33.900,00;2009;193.355;Branco;0;Rio Claro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-47.554632;-22.398378;1400.0
600;Volkswagen Saveiro 1.6 (Flex) 2010;Flex; 35.900,00;2009;157.749;Prata;0;Curitiba;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-49.264622;-25.419547;1600.0
601;Fiat Uno Vivace 1.0 8V (Flex) 4p 2012;Flex; 32.900,00;2011;166.144;Prata;0;Jundiaí;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;-46.897358;-23.185218;1000.0
602;Fiat Siena EL 1.0 8V (Flex) 2012;Flex; 28.900,00;2012;190.000;Preto;0;São José do Rio Preto;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-49.375767;-20.811289;1000.0
603;Chevrolet Corsa Hatch 1.4 EconoFlex Premium 2009;Flex; 26.900,00;2008;150.000;Cinza;0;Mogi das Cruzes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.18541;-23.52082;1400.0
604;Chevrolet Classic LS VHC E 1.0 (Flex) 2014;Flex; 33.900,00;2013;95.600;Branco;0;Porto Alegre;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-51.206533;-30.031771;1000.0
605;Volkswagen Gol 1.0 (G5) (Flex) 2010;Flex; 27.900,00;2009;198.021;Vermelho;0;Suzano;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;-46.311181;-23.544828;1000.0
606;Chevrolet Celta LT 1.0 (Flex) 2012;Flex; 29.899,00;2011;105.100;Preto;0;Santo André;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-46.543154;-23.67373;1000.0
607;Ford Fiesta Hatch 1.6 (Flex) 2011;Flex; 29.900,00;2010;160.308;Prata;0;Jundiaí;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-46.897358;-23.185218;1600.0
608;Renault Clio Expression 1.0 16V (Flex) 2015;Flex; 37.990,00;2014;56.000;Branco;0;Florianópolis;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-48.547696;-27.594486;1000.0
609;Volkswagen Saveiro 1.6 (Flex) 2011;Flex; 34.900,00;2010;202.000;Branco;0;Ribeirão Preto;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-47.809875;-21.169923;1600.0
610;Volkswagen Fox 1.0 VHT (Flex) 4p 2012;Flex; 32.990,00;2011;118.300;Vermelho;0;São Paulo;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;-46.63952;-23.532905;1000.0
